Player,Match,Team ID,Role,Credit,Players Link,Runs Scored,Balls Played,Out,Bat SR,50,100,4s Scored,6s Scored,Bat Dot%,Overs Bowled,Runs Given,Wickets Taken,Econ,Bowl Avg,Bowl SR,5W,4s Given,6s Given,Bowl Dot%,next_runs,next_balls,next SR,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
RD Chahar,smat2022_061,PBKS,Bowler,8,https://www.punjabkingsipl.in/static-assets/images/players/66823.png?v=5.91,8,4,0,200,0,0,0,1,25,3,26,0,8.67,0,0,0,2,1,22.2,5,10,50,1,28,3,4,6,9,11,1,1,26,30,3,4
HV Patel,smat2021_2_060,PBKS,Bowler,9,https://www.punjabkingsipl.in/static-assets/images/players/5407.png?v=5.91,26,14,1,185.7,0,0,4,1,35.7,4,30,1,7.5,30,24,0,4,0,45.8,6,4,150,1,28,3,3,8,3,5,1,1,26,31,3,3
LS Livingstone,t20blast2022_056,PBKS,AR,8,https://www.punjabkingsipl.in/static-assets/images/players/63940.png?v=5.911,2,6,1,33.3,0,0,0,0,66.7,4,40,1,10,40,24,0,4,2,41.7,26,18,144.4444444,1,16,2,22,30,16,20,1,1,14,18,2,2
A Taide,smat2022_135,PBKS,AR,8,https://www.punjabkingsipl.in/static-assets/images/players/67910.png?v=5.91,29,22,1,131.8,0,0,3,1,40.9,0,0,0,0,0,0,0,0,0,0,20,15,133.3333333,0,4,0,9,30,8,21,0,0,-1,8,0,0
SM Curran,t20blast2022_112,PBKS,AR,8,https://www.punjabkingsipl.in/static-assets/images/players/65584.png?v=5.91,50,30,1,166.7,1,0,0,5,20,0,0,0,0,0,0,0,0,0,0,8,7,114.2857143,1,20,2,5,12,5,9,1,1,17,22,2,2
Sikandar Raza,psl2023_34,PBKS,AR,8,https://www.punjabkingsipl.in/static-assets/images/players/25422.png?v=5.91,1,2,1,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,17,14,121.4285714,0,16,2,13,22,11,16,0,1,13,19,2,2
F du Plessis,t20blast2019_123,RCB,Batsman,9.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/94.png,32,21,1,152.4,0,0,1,2,9.5,0,0,0,0,0,0,0,0,0,0,30,21,142.8571429,0,0,0,26,34,19,24,0,0,0,0,0,0
V Kohli,ipl2023_65,RCB,Batsman,9,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/2.png,100,63,1,158.7,0,1,12,4,34.9,0,0,0,0,0,0,0,0,0,0,8,15,53.33333333,0,0,0,3,13,12,19,0,0,0,0,0,0
RM Patidar,smat2022_117,RCB,Batsman,8,https://www.iplt20.com/assets/images/default-headshot.png,52,32,1,162.5,1,0,5,3,34.4,0,0,0,0,0,0,0,0,0,0,8,7,114.2857143,0,0,0,1,19,1,14,0,0,0,0,0,0
KD Karthik,tnpl2022_20,RCB,WK,8,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/13.png,21,16,1,131.2,0,0,3,0,31.2,0,0,0,0,0,0,0,0,0,0,18,12,150,0,0,0,14,21,10,14,0,0,0,0,0,0
