Player,Role,Team ID,Credit,Players_Link,Match,Runs Scored,Balls Played,Out,Bat SR,50,100,fours_Scored,six_Scored,Bat_Dot%,Overs_Bowled,Runs_Given,Wickets_Taken,Econ,Bowl_Avg,Bowl_SR,5W,fours_Given,six_Given,Bowl_Dot%,next_SR,next_runs,next_balls,next_overs,next_runs_given,next_wkts,next_runs_ll_95,next_runs_ul_95,next_balls_ll_95,next_balls_ul_95,next_overs_ll_95,next_overs_ul_95,next_runs_given_ll_95,next_runs_given_ul_95,next_wkts_ll_95,next_wkts_ul_95
KL Rahul,WK,LSG,9,https://www.lucknowsupergiants.in/static-assets/images/players/60122.png?v=9.44,ipl2024_04,58,44,1,131.8,1,0,4,2,27.3,0,0,0,0,0,0,0,0,0,0,117.2413793,34,29,0,0,0,27,41,25,33,0,0,0,0,0,0
N Pooran,WK,LSG,8.5,https://www.lucknowsupergiants.in/static-assets/images/players/63726.png?v=9.4,t20blast2019_023,43,31,1,138.7,0,0,3,3,38.7,0,0,0,0,0,0,0,0,0,0,141.1764706,24,17,0,0,0,21,28,15,19,0,0,0,0,0,0
Q de Kock,WK,LSG,8.5,https://www.lucknowsupergiants.in/static-assets/images/players/28035.png?v=9.4,t100m2022_31,8,6,1,133.3,0,0,2,0,66.7,0,0,0,0,0,0,0,0,0,0,152.3809524,32,21,0,0,0,26,37,18,24,0,0,0,0,0,0
SA Yadav,Batsman,MI,9,https://www.mumbaiindians.com/static-assets/images/players/large/11803.png?v=4.11&w=200,smat2021_095,22,15,1,146.7,0,0,3,0,26.7,0,0,0,0,0,0,0,0,0,0,133.3333333,20,15,0,0,0,16,25,12,18,0,0,0,0,0,0
RG Sharma,Batsman,MI,9,https://www.mumbaiindians.com/static-assets/images/players/large/3852.png?v=4.11&w=200,ipl2024_08,26,12,1,216.7,0,0,1,3,41.7,0,0,0,0,0,0,0,0,0,0,136.8421053,26,19,0,0,0,22,30,17,22,0,0,0,0,0,0
NT Tilak Varma,Batsman,MI,8,https://www.mumbaiindians.com/static-assets/images/players/large/70761.png?v=4.11&w=200,smat2023_069,40,24,0,166.7,0,0,2,3,29.2,0,0,0,0,0,0,0,0,0,0,130,26,20,1,2,0,18,34,16,24,0,0,0,4,0,0
TH David,Batsman,MI,7.5,https://www.mumbaiindians.com/static-assets/images/players/large/67402.png?v=4.11&w=200,t20blast2022_133,8,11,1,72.7,0,0,0,0,45.5,0,0,0,0,0,0,0,0,0,0,172.7272727,19,11,1,2,0,16,22,10,13,0,0,1,3,0,0
D Brevis,Batsman,MI,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/797.png,sat20_2024_28,9,10,1,90,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,170,17,10,1,1,0,11,23,7,14,0,0,0,2,0,0
JJ Bumrah,Bowler,MI,9,https://www.mumbaiindians.com/static-assets/images/players/large/63755.png?v=4.11&w=2000,ipl2024_08,0,0,0,0,0,0,0,0,0,4,36,0,9,0,0,0,2,1,20.8,0,0,0,2,22,3,0,1,0,1,1,2,20,24,3,4
G Coetzee,Bowler,MI,8,https://www.mumbaiindians.com/static-assets/images/players/large/67443.png?v=4.11&w=200,sat20_2023_32,12,17,1,70.6,0,0,0,1,64.7,4,41,0,10.25,0,0,0,2,2,37.5,0,0,1,1,15,2,0,0,1,3,0,1,10,21,1,2
PP Chawla,Bowler,MI,8,https://www.mumbaiindians.com/static-assets/images/players/large/3729.png?v=4.11&w=200,smat2023_127,13,8,0,162.5,0,0,2,0,12.5,4,19,0,4.75,0,0,0,1,0,37.5,100,2,2,1,20,3,0,3,2,3,0,1,18,22,2,3
N Thushara,Bowler,MI,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/813.png,sat20_2024_28,0,1,1,0,0,0,0,0,100,3.4,40,1,10.91,40,22,0,6,0,40.9,0,0,2,1,6,2,1,1,1,2,1,1,2,10,1,2
L Wood,Bowler,MI,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3116.png,t20blast2023_127,0,0,0,0,0,0,0,0,0,4,37,1,9.25,37,24,0,3,1,50,100,2,2,1,26,3,1,3,1,3,1,1,24,27,3,3
HH Pandya,AR,MI,9,https://www.mumbaiindians.com/static-assets/images/players/large/63751.png?v=4.11&w=200,ipl2024_08,24,20,1,120,0,0,1,1,25,4,46,1,11.5,46,24,0,5,2,20.8,138.4615385,18,13,1,14,2,15,22,11,16,0,1,11,17,2,2
Mohammad Nabi,AR,MI,7.5,https://www.mumbaiindians.com/static-assets/images/players/large/7797.png?v=4.11&w=200,t20blast2021_122,8,7,1,114.3,0,0,1,0,28.6,4,23,2,5.75,11.5,12,0,2,0,41.7,136.3636364,15,11,1,22,3,13,16,10,12,1,1,21,24,3,3
R Shepherd,AR,MI,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/371.png,sat20_2024_17,0,0,0,0,0,0,0,0,0,2,15,0,7.5,0,0,0,1,1,75,140,7,5,2,27,3,4,10,3,6,2,2,24,30,3,3
Ishan Kishan,WK,MI,8.5,https://www.mumbaiindians.com/static-assets/images/players/large/64712.png?v=4.11&w=200,smat2021_081,27,19,1,142.1,0,0,3,1,36.8,0,0,0,0,0,0,0,0,0,0,133.3333333,24,18,0,0,0,20,29,16,21,0,0,0,0,0,0
N Wadhera,Batsman,MI,7.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1541.png,smat2023_135,61,27,0,225.9,1,0,6,4,18.5,0,0,0,0,0,0,0,0,0,0,107.1428571,15,14,0,0,0,2,27,6,21,0,0,0,0,0,0
Naman Dhir,Batsman,MI,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3107.png,smat2023_133,1,2,1,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,-1,1,-7,7,0,0
A Madhwal,Bowler,MI,7,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1045.png,smat2023_133,1,2,1,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0
S Gopal,Bowler,MI,6.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/192.png,smat2023_132,0,2,1,0,0,0,0,0,100,3,30,0,10,0,0,0,3,1,22.2,133.3333333,4,3,1,24,3,2,6,1,6,1,2,21,27,3,3
K Kartikeya,Bowler,MI,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/1015.png,smat2023_108,0,0,0,0,0,0,0,0,0,4,34,3,8.5,11.3,8,0,1,3,41.7,100,1,1,1,10,3,1,1,1,2,0,1,5,15,2,3
AS Tendulkar,Bowler,MI,5.5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/585.png,smat2023_068,0,0,0,0,0,0,0,0,0,4,17,0,4.25,0,0,0,0,1,83.3,150,3,2,1,10,1,1,7,1,5,0,1,-4,24,0,2
A Kamboj,Bowler,MI,5,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/3106.png,smat2023_076,0,0,0,0,0,0,0,0,0,2,8,1,4,8,12,0,1,0,100,100,1,1,1,23,2,0,2,0,2,0,2,17,30,2,2
SZ Mulani,AR,MI,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/600.png,smat2023_058,17,8,1,212.5,0,0,2,1,25,4,18,3,4.5,6,8,0,0,1,45.8,14.28571429,1,7,1,18,3,1,6,5,10,0,1,11,25,2,4
Vishnu Vinod,WK,MI,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/581.png,smat2023_132,17,12,1,141.7,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,6,0,0,0,0,0,0
